col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,E,C,E,A,A,A,B,B,C,B,A,C,0,0,0,0,0,0,0,0,0,0
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,E,C,E,A,A,A,B,B,C,B,A,C,0,0,0,0,0,0,0,0,0,0
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,D,D,A,C,D,C,C,E,B,B,0,0,0,0,0,0,0,0,0,0
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,E,A,A,A,A,A,A,A,A,E,C,C,C,1,0,0,0,1,0,0,0,0,0
A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,E,A,E,B,E,C,D,C,C,A,A,A,0,0,0,0,0,0,0,0,0,1
A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,B,B,A,A,A,B,B,B,B,B,B,A,A,B,C,C,C,C,C,C,C,C,A,B,A,0,0,0,0,0,0,0,0,0,0
A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,C,A,B,D,A,C,C,C,C,A,A,A,0,0,0,0,0,0,0,0,0,0
A,A,C,A,C,E,A,A,A,A,A,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,D,E,A,B,B,C,D,A,B,B,A,A,A,0,0,0,0,0,0,0,0,0,0
B,C,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,B,B,B,B,A,A,A,A,C,B,C,A,A,C,B,C,C,C,C,C,B,A,0,0,0,0,0,0,0,0,0,0
B,A,B,A,A,A,A,B,A,A,B,A,B,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,C,A,C,A,C,A,C,D,A,D,D,D,C,C,0,0,0,0,0,0,0,0,0,0
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,C,B,C,C,B,C,D,C,C,D,B,B,0,0,0,0,0,0,0,0,0,0
A,A,C,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,C,B,A,A,C,D,B,C,B,C,B,C,C,A,0,0,0,0,0,0,0,0,0,0
A,A,B,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,C,A,D,D,D,D,A,B,D,D,D,B,0,0,0,0,0,0,0,0,0,0
A,A,B,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,C,A,D,D,D,D,A,B,D,D,D,B,0,0,0,0,0,0,0,0,0,0
D,B,B,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,D,C,C,A,C,C,A,A,E,0,0,0,0,0,0,0,0,0,0
A,C,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,C,A,A,D,A,B,B,C,C,B,A,B,D,C,C,0,0,0,0,0,0,0,0,0,0
A,B,C,A,A,A,A,A,A,B,B,B,C,B,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,B,B,B,A,B,B,A,C,B,B,B,B,B,B,0,0,0,0,0,0,0,0,0,0
E,D,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,E,E,E,E,A,A,A,0,0,0,0,0,0,0,0,0,0
D,A,A,A,A,A,A,A,A,A,A,B,B,C,B,A,A,B,B,A,A,A,A,B,A,A,B,A,A,A,A,A,D,C,E,E,A,B,A,A,B,E,B,A,0,0,0,0,0,0,0,0,0,0
A,A,C,E,A,A,A,A,A,C,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,C,D,A,D,C,A,C,E,A,A,B,A,A,0,0,0,0,0,0,0,0,0,0
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,A,E,D,E,D,B,D,D,A,B,A,0,0,0,0,0,0,0,0,0,0
C,B,B,A,A,B,A,A,A,A,A,B,A,B,A,A,B,A,B,A,A,A,A,B,A,B,B,A,A,A,A,B,D,B,D,B,B,D,A,A,A,A,A,A,0,0,0,0,0,0,0,0,0,0
A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,C,C,B,B,B,A,B,A,A,A,E,E,E,E,E,A,E,A,A,A,A,A,0,0,0,0,0,0,0,0,0,0
A,A,A,A,A,A,A,A,A,C,A,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,B,A,C,A,C,A,B,D,D,C,C,B,B,C,A,A,0,0,0,0,0,0,0,0,0,0
A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,E,E,E,E,E,E,C,C,A,A,A,0,0,0,0,0,0,0,0,0,0
A,D,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,E,A,E,E,E,D,B,B,B,C,A,B,0,0,0,0,0,0,0,0,0,1
A,B,B,B,B,A,A,A,A,A,B,B,C,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,D,B,C,B,C,C,C,C,B,0,0,0,0,0,0,0,0,0,0
B,A,A,A,A,B,A,A,A,B,B,A,B,B,B,B,A,B,A,A,A,A,A,B,B,A,A,A,A,B,B,A,E,B,A,C,B,C,B,C,C,E,C,A,0,0,0,0,0,0,0,0,0,0
C,C,D,A,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,C,A,C,A,C,C,B,B,B,B,B,B,B,B,0,0,0,0,0,0,0,0,0,0
B,A,B,A,B,B,A,A,A,B,A,A,B,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,A,A,C,B,C,C,C,C,D,0,0,0,0,0,0,0,0,0,0
C,B,A,C,A,A,A,A,A,B,B,B,B,A,B,A,B,B,A,A,A,A,A,B,B,B,A,A,A,A,A,A,B,A,A,D,A,C,C,C,C,C,C,B,0,0,0,0,0,0,0,0,0,0
A,A,B,B,A,A,A,A,A,C,B,C,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,C,B,C,A,A,C,B,C,B,C,C,B,A,A,0,0,0,0,0,0,0,0,0,0
A,B,A,A,A,B,A,C,A,A,B,A,B,A,A,A,A,A,A,A,A,A,C,C,A,A,B,B,A,A,B,A,B,A,B,D,D,C,A,A,A,E,E,C,0,0,0,0,0,0,0,0,0,0
A,B,A,B,A,A,A,A,A,B,B,C,C,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,C,B,C,C,B,A,B,D,C,C,C,B,A,A,0,0,0,0,0,0,0,0,0,0
A,A,A,A,A,A,A,A,A,B,A,B,C,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,C,A,C,B,C,D,C,C,C,B,B,A,0,0,0,0,0,0,0,0,0,0
C,A,C,A,A,A,A,A,A,C,A,A,C,A,A,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A,D,C,C,B,B,B,B,C,B,0,0,0,0,0,0,0,0,0,0
B,B,C,A,C,B,A,C,B,C,B,B,C,A,C,B,C,B,A,A,A,B,A,B,B,A,B,A,A,A,A,A,A,A,B,B,B,A,B,C,C,A,B,B,0,0,0,0,0,0,0,0,0,0
A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,C,C,E,E,E,C,C,C,C,E,C,C,0,0,0,0,0,0,0,0,0,0
C,A,B,A,A,A,A,A,A,C,B,A,B,A,C,C,B,A,A,A,B,A,A,B,A,B,A,A,A,A,C,A,C,B,C,D,A,C,A,A,C,B,A,A,0,0,0,0,0,0,0,0,0,0
C,B,B,A,A,C,A,A,A,C,A,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,B,B,C,A,B,A,D,B,B,D,B,B,B,0,0,0,0,0,0,0,0,0,0
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,E,A,A,A,B,A,E,B,B,E,C,C,C,0,1,0,0,1,0,0,0,0,0
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,D,B,D,E,B,C,C,C,C,D,C,C,0,0,0,0,0,0,0,0,0,0
B,B,A,A,A,A,A,A,A,B,A,B,B,A,A,B,A,A,A,B,A,A,A,A,B,B,B,A,A,B,B,B,D,A,C,D,A,C,A,B,B,D,A,A,0,0,0,0,0,0,0,0,0,0
A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,E,D,D,C,C,D,C,E,D,B,0,0,0,0,0,0,1,0,0,0
A,A,A,A,A,A,A,B,A,A,A,B,B,B,A,A,A,A,A,B,B,A,B,B,A,A,A,A,A,A,B,D,C,A,B,D,E,E,A,B,D,D,D,B,0,0,0,0,0,0,0,0,0,0
